SFGL ID	Vial #	Jar #	Date	Wild/Hatchery	Species	Run	comment	Age	Basin
OtsAC18CORH_0101	1	1	5/15/2018	Wild	Chinook	Spring	unmarked	Adult	Rogue
OtsAC18CORH_0201	1	2	5/15/2018	Hatchery	Chinook	Spring		Adult	Rogue
OtsAC18CORH_0202	2	2	5/15/2018	Hatchery	Chinook	Spring		Adult	Rogue
OtsAC18CORH_0203	3	2	5/15/2018	Hatchery	Chinook	Spring		Adult	Rogue
OtsAC18CORH_0204	4	2	5/15/2018	Hatchery	Chinook	Spring		Adult	Rogue
OtsAC18CORH_0205	5	2	5/15/2018	Hatchery	Chinook	Spring		Adult	Rogue
OtsAC18CORH_0206	6	2	5/15/2018	Hatchery	Chinook	Spring		Adult	Rogue
OtsAC18CORH_0207	7	2	5/15/2018	Hatchery	Chinook	Spring		Adult	Rogue
OtsAC18CORH_0208	8	2	5/15/2018	Hatchery	Chinook	Spring		Adult	Rogue
OtsAC18CORH_0209	9	2	5/15/2018	Hatchery	Chinook	Spring		Adult	Rogue
OtsAC18CORH_0210	10	2	5/15/2018	Hatchery	Chinook	Spring		Adult	Rogue
OtsAC18CORH_0211	11	2	5/15/2018	Hatchery	Chinook	Spring		Adult	Rogue
OtsAC18CORH_0212	12	2	5/15/2018	Hatchery	Chinook	Spring		Adult	Rogue
OtsAC18CORH_0213	13	2	5/15/2018	Hatchery	Chinook	Spring		Adult	Rogue
OtsAC18CORH_0214	14	2	5/15/2018	Hatchery	Chinook	Spring		Adult	Rogue
OtsAC18CORH_0215	15	2	5/15/2018	Hatchery	Chinook	Spring		Adult	Rogue
OtsAC18CORH_0216	16	2	5/15/2018	Hatchery	Chinook	Spring		Adult	Rogue
OtsAC18CORH_0217	17	2	5/15/2018	Hatchery	Chinook	Spring		Adult	Rogue
OtsAC18CORH_0218	18	2	5/15/2018	Hatchery	Chinook	Spring		Adult	Rogue
OtsAC18CORH_0219	19	2	5/15/2018	Hatchery	Chinook	Spring		Adult	Rogue
OtsAC18CORH_0220	20	2	5/15/2018	Hatchery	Chinook	Spring		Adult	Rogue
OtsAC18CORH_0221	21	2	5/15/2018	Hatchery	Chinook	Spring		Adult	Rogue
OtsAC18CORH_0222	22	2	5/15/2018	Hatchery	Chinook	Spring		Adult	Rogue
OtsAC18CORH_0223	23	2	5/15/2018	Hatchery	Chinook	Spring		Adult	Rogue
OtsAC18CORH_0224	24	2	5/15/2018	Hatchery	Chinook	Spring		Adult	Rogue
OtsAC18CORH_0225	25	2	5/15/2018	Hatchery	Chinook	Spring		Adult	Rogue
OtsAC18CORH_0226	26	2	5/15/2018	Hatchery	Chinook	Spring		Adult	Rogue
OtsAC18CORH_0227	27	2	5/15/2018	Hatchery	Chinook	Spring		Adult	Rogue
OtsAC18CORH_0228	28	2	5/15/2018	Hatchery	Chinook	Spring		Adult	Rogue
OtsAC18CORH_0229	29	2	5/15/2018	Hatchery	Chinook	Spring		Adult	Rogue
OtsAC18CORH_0230	30	2	5/15/2018	Hatchery	Chinook	Spring		Adult	Rogue
OtsAC18CORH_0231	31	2	5/15/2018	Hatchery	Chinook	Spring		Adult	Rogue
OtsAC18CORH_0232	32	2	5/15/2018	Hatchery	Chinook	Spring		Adult	Rogue
OtsAC18CORH_0233	33	2	5/15/2018	Hatchery	Chinook	Spring		Adult	Rogue
OtsAC18CORH_0234	34	2	5/15/2018	Hatchery	Chinook	Spring		Adult	Rogue
OtsAC18CORH_0235	35	2	5/15/2018	Hatchery	Chinook	Spring		Adult	Rogue
OtsAC18CORH_0236	36	2	5/15/2018	Hatchery	Chinook	Spring		Adult	Rogue
OtsAC18CORH_0237	37	2	5/15/2018	Hatchery	Chinook	Spring		Adult	Rogue
OtsAC18CORH_0238	38	2	5/15/2018	Hatchery	Chinook	Spring		Adult	Rogue
OtsAC18CORH_0239	39	2	5/15/2018	Hatchery	Chinook	Spring		Adult	Rogue
OtsAC18CORH_0240	40	2	5/15/2018	Hatchery	Chinook	Spring		Adult	Rogue
OtsAC18CORH_0241	41	2	5/15/2018	Hatchery	Chinook	Spring		Adult	Rogue
OtsAC18CORH_0242	42	2	5/15/2018	Hatchery	Chinook	Spring		Adult	Rogue
OtsAC18CORH_0243	43	2	5/15/2018	Hatchery	Chinook	Spring		Adult	Rogue
OtsAC18CORH_0244	44	2	5/15/2018	Hatchery	Chinook	Spring		Adult	Rogue
OtsAC18CORH_0245	45	2	5/15/2018	Hatchery	Chinook	Spring		Adult	Rogue
OtsAC18CORH_0246	46	2	5/15/2018	Hatchery	Chinook	Spring		Adult	Rogue
OtsAC18CORH_0247	47	2	5/15/2018	Hatchery	Chinook	Spring		Adult	Rogue
OtsAC18CORH_0248	48	2	5/15/2018	Hatchery	Chinook	Spring		Adult	Rogue
OtsAC18CORH_0249	49	2	5/15/2018	Hatchery	Chinook	Spring		Adult	Rogue
OtsAC18CORH_0250	50	2	5/15/2018	Hatchery	Chinook	Spring		Adult	Rogue
OtsAC18CORH_0251	51	2	5/15/2018	Hatchery	Chinook	Spring		Adult	Rogue
OtsAC18CORH_0252	52	2	5/15/2018	Hatchery	Chinook	Spring		Adult	Rogue
OtsAC18CORH_0253	53	2	5/15/2018	Hatchery	Chinook	Spring		Adult	Rogue
OtsAC18CORH_0254	54	2	5/15/2018	Hatchery	Chinook	Spring		Adult	Rogue
OtsAC18CORH_0255	55	2	5/15/2018	Hatchery	Chinook	Spring		Adult	Rogue
OtsAC18CORH_0256	56	2	5/15/2018	Hatchery	Chinook	Spring		Adult	Rogue
OtsAC18CORH_0257	57	2	5/15/2018	Hatchery	Chinook	Spring		Adult	Rogue
OtsAC18CORH_0301	1	3	5/16/2018	Mix	Chinook	Spring		Adult	Rogue
OtsAC18CORH_0302	2	3	5/16/2018	Mix	Chinook	Spring		Adult	Rogue
OtsAC18CORH_0303	3	3	5/16/2018	Mix	Chinook	Spring		Adult	Rogue
OtsAC18CORH_0304	4	3	5/16/2018	Mix	Chinook	Spring		Adult	Rogue
OtsAC18CORH_0305	5	3	5/16/2018	Mix	Chinook	Spring		Adult	Rogue
OtsAC18CORH_0306	6	3	5/16/2018	Mix	Chinook	Spring		Adult	Rogue
OtsAC18CORH_0307	7	3	5/16/2018	Mix	Chinook	Spring		Adult	Rogue
OtsAC18CORH_0308	8	3	5/16/2018	Mix	Chinook	Spring		Adult	Rogue
OtsAC18CORH_0309	9	3	5/16/2018	Mix	Chinook	Spring		Adult	Rogue
OtsAC18CORH_0310	10	3	5/16/2018	Mix	Chinook	Spring		Adult	Rogue
OtsAC18CORH_0311	11	3	5/16/2018	Mix	Chinook	Spring		Adult	Rogue
OtsAC18CORH_0312	12	3	5/16/2018	Mix	Chinook	Spring		Adult	Rogue
